80	21	15	19	25	34	46	2	7	6	5	5	4	0	6	4	0	8	7	10	4	5	6	26.25	18.75	23.75	31.25	42.50	57.50	2.53	8.86	7.59	6.33	6.33	5.06	0.00	7.59	5.06	0.00	10.13	8.86	12.66	5.06	6.33	7.59	33.00	0.4125	-34.20	-0.4275	8.41	0.1051	3.04	0.0379	
72	20	11	18	23	29	43	3	3	10	4	3	3	0	5	4	2	5	7	9	3	3	7	27.78	15.28	25.00	31.94	40.28	59.72	4.23	4.23	14.08	5.63	4.23	4.23	0.00	7.04	5.63	2.82	7.04	9.86	12.68	4.23	4.23	9.86	25.00	0.3472	-25.20	-0.3500	8.57	0.1190	2.53	0.0352	
74	14	13	21	26	34	40	2	3	4	5	1	3	0	9	2	3	9	7	9	4	7	5	18.92	17.57	28.38	35.14	45.95	54.05	2.74	4.11	5.48	6.85	1.37	4.11	0.00	12.33	2.74	4.11	12.33	9.59	12.33	5.48	9.59	6.85	30.00	0.4054	-34.10	-0.4608	4.93	0.0666	1.76	0.0237	
83	16	18	26	23	44	39	3	4	6	3	3	7	2	6	4	3	9	9	6	3	9	5	19.28	21.69	31.33	27.71	53.01	46.99	3.66	4.88	7.32	3.66	3.66	8.54	2.44	7.32	4.88	3.66	10.98	10.98	7.32	3.66	10.98	6.10	34.00	0.4096	-46.70	-0.5627	9.82	0.1183	3.84	0.0462	
84	17	16	24	27	40	44	2	5	8	2	3	5	1	6	4	3	8	9	8	3	6	10	20.24	19.05	28.57	32.14	47.62	52.38	2.41	6.02	9.64	2.41	3.61	6.02	1.20	7.23	4.82	3.61	9.64	10.84	9.64	3.61	7.23	12.05	32.00	0.3810	-31.60	-0.3762	10.56	0.1257	3.86	0.0460	
87	21	16	26	24	42	45	3	4	11	3	4	5	1	6	5	5	10	5	9	1	4	10	24.14	18.39	29.89	27.59	48.28	51.72	3.49	4.65	12.79	3.49	4.65	5.81	1.16	6.98	5.81	5.81	11.63	5.81	10.47	1.16	4.65	11.63	33.00	0.3793	-42.70	-0.4908	8.43	0.0969	2.90	0.0334	
79	18	20	25	16	45	34	1	4	10	3	4	9	2	5	7	3	10	4	6	3	3	4	22.78	25.32	31.65	20.25	56.96	43.04	1.28	5.13	12.82	3.85	5.13	11.54	2.56	6.41	8.97	3.85	12.82	5.13	7.69	3.85	3.85	5.13	29.00	0.3671	-36.70	-0.4646	10.46	0.1325	3.82	0.0483	
87	22	13	22	30	35	52	2	3	9	7	3	5	0	5	7	1	5	9	10	4	8	8	25.29	14.94	25.29	34.48	40.23	59.77	2.33	3.49	10.47	8.14	3.49	5.81	0.00	5.81	8.14	1.16	5.81	10.47	11.63	4.65	9.30	9.30	35.00	0.4023	-42.30	-0.4862	3.04	0.0349	1.20	0.0138	
83	20	15	20	28	35	48	1	5	7	7	4	5	1	5	5	0	6	8	10	5	6	7	24.10	18.07	24.10	33.73	42.17	57.83	1.22	6.10	8.54	8.54	4.88	6.10	1.22	6.10	6.10	0.00	7.32	9.76	12.20	6.10	7.32	8.54	34.00	0.4096	-39.00	-0.4699	14.24	0.1716	5.47	0.0659	
84	21	18	24	21	42	42	1	7	9	3	6	6	1	5	5	4	7	8	8	1	7	5	25.00	21.43	28.57	25.00	50.00	50.00	1.20	8.43	10.84	3.61	7.23	7.23	1.20	6.02	6.02	4.82	8.43	9.64	9.64	1.20	8.43	6.02	33.00	0.3929	-39.30	-0.4679	4.44	0.0528	1.90	0.0227	
84	13	17	28	26	45	39	2	3	5	2	2	3	3	9	4	9	6	9	5	1	14	6	15.48	20.24	33.33	30.95	53.57	46.43	2.41	3.61	6.02	2.41	2.41	3.61	3.61	10.84	4.82	10.84	7.23	10.84	6.02	1.20	16.87	7.23	31.00	0.3690	-39.70	-0.4726	7.93	0.0944	2.64	0.0314	
71	23	12	14	22	26	45	7	3	3	9	3	3	0	6	4	3	4	3	9	3	7	3	32.39	16.90	19.72	30.99	36.62	63.38	10.00	4.29	4.29	12.86	4.29	4.29	0.00	8.57	5.71	4.29	5.71	4.29	12.86	4.29	10.00	4.29	29.00	0.4085	-29.10	-0.4099	6.17	0.0868	2.30	0.0323	
85	28	14	15	28	29	56	6	7	5	10	5	3	0	5	4	2	3	6	12	2	7	7	32.94	16.47	17.65	32.94	34.12	65.88	7.14	8.33	5.95	11.90	5.95	3.57	0.00	5.95	4.76	2.38	3.57	7.14	14.29	2.38	8.33	8.33	33.00	0.3882	-36.00	-0.4235	6.77	0.0796	2.38	0.0280	
80	18	18	19	25	37	43	4	4	5	5	4	6	3	5	2	3	3	10	8	4	8	5	22.50	22.50	23.75	31.25	46.25	53.75	5.06	5.06	6.33	6.33	5.06	7.59	3.80	6.33	2.53	3.80	3.80	12.66	10.13	5.06	10.13	6.33	26.00	0.3250	-25.70	-0.3213	5.60	0.0700	1.93	0.0242	
75	19	15	19	22	34	41	4	4	5	5	5	2	0	8	4	5	4	6	6	4	10	2	25.33	20.00	25.33	29.33	45.33	54.67	5.41	5.41	6.76	6.76	6.76	2.70	0.00	10.81	5.41	6.76	5.41	8.11	8.11	5.41	13.51	2.70	26.00	0.3467	-36.20	-0.4827	5.41	0.0721	1.80	0.0240	
79	20	12	20	27	32	47	5	5	3	7	2	2	2	6	5	1	5	9	7	4	10	5	25.32	15.19	25.32	34.18	40.51	59.49	6.41	6.41	3.85	8.97	2.56	2.56	2.56	7.69	6.41	1.28	6.41	11.54	8.97	5.13	12.82	6.41	31.00	0.3924	-30.00	-0.3797	12.41	0.1571	4.93	0.0624	
78	16	18	20	24	38	40	2	3	5	6	7	3	1	7	2	9	5	3	5	3	9	7	20.51	23.08	25.64	30.77	48.72	51.28	2.60	3.90	6.49	7.79	9.09	3.90	1.30	9.09	2.60	11.69	6.49	3.90	6.49	3.90	11.69	9.09	28.00	0.3590	-31.00	-0.3974	6.93	0.0889	2.90	0.0372	
78	19	17	18	24	35	43	4	3	8	3	9	2	0	6	2	8	3	5	4	4	7	9	24.36	21.79	23.08	30.77	44.87	55.13	5.19	3.90	10.39	3.90	11.69	2.60	0.00	7.79	2.60	10.39	3.90	6.49	5.19	5.19	9.09	11.69	29.00	0.3718	-28.10	-0.3603	10.68	0.1370	4.49	0.0576	
62	20	16	13	13	29	33	6	3	5	5	7	4	1	4	3	7	1	2	4	2	6	1	32.26	25.81	20.97	20.97	46.77	53.23	9.84	4.92	8.20	8.20	11.48	6.56	1.64	6.56	4.92	11.48	1.64	3.28	6.56	3.28	9.84	1.64	16.00	0.2581	-16.40	-0.2645	6.09	0.0982	2.38	0.0384	
62	19	15	14	14	29	33	6	4	5	3	5	3	0	7	4	7	1	2	4	1	8	1	30.65	24.19	22.58	22.58	46.77	53.23	9.84	6.56	8.20	4.92	8.20	4.92	0.00	11.48	6.56	11.48	1.64	3.28	6.56	1.64	13.11	1.64	18.00	0.2903	-18.30	-0.2952	6.26	0.1010	2.36	0.0381	
81	14	19	24	24	43	38	2	4	2	5	7	2	3	7	3	7	5	9	2	6	14	2	17.28	23.46	29.63	29.63	53.09	46.91	2.50	5.00	2.50	6.25	8.75	2.50	3.75	8.75	3.75	8.75	6.25	11.25	2.50	7.50	17.50	2.50	29.00	0.3580	-43.10	-0.5321	7.62	0.0940	3.17	0.0392	
81	14	17	24	26	41	40	2	3	2	6	6	2	2	7	3	7	5	9	3	5	15	3	17.28	20.99	29.63	32.10	50.62	49.38	2.50	3.75	2.50	7.50	7.50	2.50	2.50	8.75	3.75	8.75	6.25	11.25	3.75	6.25	18.75	3.75	29.00	0.3580	-41.30	-0.5099	7.61	0.0940	3.17	0.0392	
81	21	17	17	26	34	47	5	5	6	5	7	3	0	7	2	6	3	5	7	2	8	9	25.93	20.99	20.99	32.10	41.98	58.02	6.25	6.25	7.50	6.25	8.75	3.75	0.00	8.75	2.50	7.50	3.75	6.25	8.75	2.50	10.00	11.25	33.00	0.4074	-34.40	-0.4247	7.00	0.0865	3.09	0.0381	
82	13	24	26	19	50	32	2	4	6	1	5	6	3	10	2	9	7	7	4	4	10	1	15.85	29.27	31.71	23.17	60.98	39.02	2.47	4.94	7.41	1.23	6.17	7.41	3.70	12.35	2.47	11.11	8.64	8.64	4.94	4.94	12.35	1.23	31.00	0.3780	-44.40	-0.5415	4.26	0.0520	1.58	0.0193	
81	18	19	19	25	38	43	3	3	8	3	10	1	0	8	2	8	4	5	3	6	7	9	22.22	23.46	23.46	30.86	46.91	53.09	3.75	3.75	10.00	3.75	12.50	1.25	0.00	10.00	2.50	10.00	5.00	6.25	3.75	7.50	8.75	11.25	32.00	0.3951	-29.50	-0.3642	5.14	0.0634	2.38	0.0294	
110	28	20	23	39	43	67	8	5	4	11	4	4	3	9	6	1	5	11	10	10	10	8	25.45	18.18	20.91	35.45	39.09	60.91	7.34	4.59	3.67	10.09	3.67	3.67	2.75	8.26	5.50	0.92	4.59	10.09	9.17	9.17	9.17	7.34	34.00	0.3091	-34.00	-0.3091	10.77	0.0979	3.70	0.0337	
110	32	19	25	34	44	66	8	5	6	12	5	5	5	4	7	1	6	11	12	7	8	7	29.09	17.27	22.73	30.91	40.00	60.00	7.34	4.59	5.50	11.01	4.59	4.59	4.59	3.67	6.42	0.92	5.50	10.09	11.01	6.42	7.34	6.42	42.00	0.3818	-42.90	-0.3900	8.31	0.0755	3.17	0.0288	
91	22	16	22	31	38	53	7	2	6	7	5	4	0	7	6	5	6	5	4	5	9	12	24.18	17.58	24.18	34.07	41.76	58.24	7.78	2.22	6.67	7.78	5.56	4.44	0.00	7.78	6.67	5.56	6.67	5.56	4.44	5.56	10.00	13.33	34.00	0.3736	-31.40	-0.3451	13.69	0.1505	5.05	0.0555	
69	5	21	27	16	48	21	1	2	1	1	1	7	7	5	2	8	10	7	1	4	8	3	7.25	30.43	39.13	23.19	69.57	30.43	1.47	2.94	1.47	1.47	1.47	10.29	10.29	7.35	2.94	11.76	14.71	10.29	1.47	5.88	11.76	4.41	28.00	0.4058	-39.30	-0.5696	6.34	0.0919	2.38	0.0345	
81	12	28	31	10	59	22	2	4	5	1	5	10	9	4	4	12	10	4	1	2	7	0	14.81	34.57	38.27	12.35	72.84	27.16	2.50	5.00	6.25	1.25	6.25	12.50	11.25	5.00	5.00	15.00	12.50	5.00	1.25	2.50	8.75	0.00	29.00	0.3580	-42.00	-0.5185	4.10	0.0506	1.58	0.0194	
89	28	13	30	18	43	46	4	5	13	6	8	1	1	2	12	4	8	6	3	3	8	4	31.46	14.61	33.71	20.22	48.31	51.69	4.55	5.68	14.77	6.82	9.09	1.14	1.14	2.27	13.64	4.55	9.09	6.82	3.41	3.41	9.09	4.55	25.00	0.2809	-19.80	-0.2225	20.88	0.2347	7.40	0.0832	
99	18	26	30	25	56	43	3	5	8	2	9	5	4	8	6	7	8	8	0	8	10	7	18.18	26.26	30.30	25.25	56.57	43.43	3.06	5.10	8.16	2.04	9.18	5.10	4.08	8.16	6.12	7.14	8.16	8.16	0.00	8.16	10.20	7.14	33.00	0.3333	-28.00	-0.2828	23.86	0.2410	7.32	0.0740	
83	16	25	30	12	55	28	2	3	11	0	10	7	0	8	3	13	10	3	1	1	9	1	19.28	30.12	36.14	14.46	66.27	33.73	2.44	3.66	13.41	0.00	12.20	8.54	0.00	9.76	3.66	15.85	12.20	3.66	1.22	1.22	10.98	1.22	24.00	0.2892	-34.40	-0.4145	45.99	0.5541	17.06	0.2056	
87	13	19	35	20	54	33	1	2	8	2	7	2	0	10	3	10	18	4	2	5	8	4	14.94	21.84	40.23	22.99	62.07	37.93	1.16	2.33	9.30	2.33	8.14	2.33	0.00	11.63	3.49	11.63	20.93	4.65	2.33	5.81	9.30	4.65	34.00	0.3908	-36.00	-0.4138	28.21	0.3243	10.18	0.1170	
85	24	18	19	24	37	48	7	6	6	5	6	2	1	8	3	6	3	7	8	3	9	4	28.24	21.18	22.35	28.24	43.53	56.47	8.33	7.14	7.14	5.95	7.14	2.38	1.19	9.52	3.57	7.14	3.57	8.33	9.52	3.57	10.71	4.76	32.00	0.3765	-45.70	-0.5376	4.43	0.0521	1.71	0.0201	
85	7	30	30	18	60	25	0	2	5	0	3	11	6	10	4	7	13	5	0	10	5	3	8.24	35.29	35.29	21.18	70.59	29.41	0.00	2.38	5.95	0.00	3.57	13.10	7.14	11.90	4.76	8.33	15.48	5.95	0.00	11.90	5.95	3.57	31.00	0.3647	-44.10	-0.5188	26.71	0.3142	9.12	0.1073	
88	12	27	34	15	61	27	0	4	6	2	10	11	3	3	2	11	15	5	0	1	9	5	13.64	30.68	38.64	17.05	69.32	30.68	0.00	4.60	6.90	2.30	11.49	12.64	3.45	3.45	2.30	12.64	17.24	5.75	0.00	1.15	10.34	5.75	27.00	0.3068	-38.60	-0.4386	41.46	0.4711	13.92	0.1582	
73	6	22	33	12	55	18	0	2	4	0	5	10	3	4	1	8	15	8	0	2	10	0	8.22	30.14	45.21	16.44	75.34	24.66	0.00	2.78	5.56	0.00	6.94	13.89	4.17	5.56	1.39	11.11	20.83	11.11	0.00	2.78	13.89	0.00	24.00	0.3288	-44.30	-0.6068	18.84	0.2581	6.30	0.0863	
69	10	19	27	13	46	23	0	5	5	0	6	7	1	5	3	3	15	5	1	4	5	3	14.49	27.54	39.13	18.84	66.67	33.33	0.00	7.35	7.35	0.00	8.82	10.29	1.47	7.35	4.41	4.41	22.06	7.35	1.47	5.88	7.35	4.41	23.00	0.3333	-36.00	-0.5217	9.98	0.1447	3.76	0.0545	
92	17	27	27	21	54	38	4	5	8	0	8	8	1	10	4	7	7	8	1	7	10	3	18.48	29.35	29.35	22.83	58.70	41.30	4.40	5.49	8.79	0.00	8.79	8.79	1.10	10.99	4.40	7.69	7.69	8.79	1.10	7.69	10.99	3.30	28.00	0.3043	-32.90	-0.3576	20.69	0.2248	6.68	0.0726	
82	12	23	37	10	60	22	0	1	10	1	6	9	3	5	5	10	17	4	1	3	6	0	14.63	28.05	45.12	12.20	73.17	26.83	0.00	1.23	12.35	1.23	7.41	11.11	3.70	6.17	6.17	12.35	20.99	4.94	1.23	3.70	7.41	0.00	26.00	0.3171	-44.10	-0.5378	22.19	0.2706	6.90	0.0842	
82	12	23	37	10	60	22	0	1	10	1	6	9	3	5	5	10	17	4	1	3	6	0	14.63	28.05	45.12	12.20	73.17	26.83	0.00	1.23	12.35	1.23	7.41	11.11	3.70	6.17	6.17	12.35	20.99	4.94	1.23	3.70	7.41	0.00	26.00	0.3171	-44.10	-0.5378	22.19	0.2706	6.90	0.0842	
80	8	24	37	11	61	19	0	5	3	0	4	11	4	5	3	7	21	5	1	1	8	1	10.00	30.00	46.25	13.75	76.25	23.75	0.00	6.33	3.80	0.00	5.06	13.92	5.06	6.33	3.80	8.86	26.58	6.33	1.27	1.27	10.13	1.27	28.00	0.3500	-50.30	-0.6287	11.95	0.1494	4.19	0.0523	
102	22	24	32	24	56	46	5	4	6	7	8	7	0	9	8	6	13	4	1	7	12	4	21.57	23.53	31.37	23.53	54.90	45.10	4.95	3.96	5.94	6.93	7.92	6.93	0.00	8.91	7.92	5.94	12.87	3.96	0.99	6.93	11.88	3.96	33.00	0.3235	-36.40	-0.3569	42.63	0.4180	13.63	0.1336	
85	21	21	22	21	43	42	7	4	4	6	6	5	4	6	4	6	7	4	3	6	7	5	24.71	24.71	25.88	24.71	50.59	49.41	8.33	4.76	4.76	7.14	7.14	5.95	4.76	7.14	4.76	7.14	8.33	4.76	3.57	7.14	8.33	5.95	28.00	0.3294	-35.30	-0.4153	4.32	0.0508	1.56	0.0183	
109	29	26	28	26	54	55	7	6	8	7	8	4	6	8	8	10	6	4	5	6	8	7	26.61	23.85	25.69	23.85	49.54	50.46	6.48	5.56	7.41	6.48	7.41	3.70	5.56	7.41	7.41	9.26	5.56	3.70	4.63	5.56	7.41	6.48	39.00	0.3578	-50.80	-0.4661	5.92	0.0543	2.18	0.0200	
87	20	23	24	20	47	40	5	4	6	5	5	7	5	5	6	8	6	4	4	4	7	5	22.99	26.44	27.59	22.99	54.02	45.98	5.81	4.65	6.98	5.81	5.81	8.14	5.81	5.81	6.98	9.30	6.98	4.65	4.65	4.65	8.14	5.81	30.00	0.3448	-40.60	-0.4667	6.98	0.0802	2.48	0.0285	
70	23	10	11	26	21	49	6	2	4	10	2	2	0	6	4	2	2	3	10	4	5	7	32.86	14.29	15.71	37.14	30.00	70.00	8.70	2.90	5.80	14.49	2.90	2.90	0.00	8.70	5.80	2.90	2.90	4.35	14.49	5.80	7.25	10.14	26.00	0.3714	-29.40	-0.4200	8.06	0.1151	2.88	0.0411	
69	26	11	10	22	21	48	7	3	6	9	5	2	0	4	4	2	2	2	10	4	2	6	37.68	15.94	14.49	31.88	30.43	69.57	10.29	4.41	8.82	13.24	7.35	2.94	0.00	5.88	5.88	2.94	2.94	2.94	14.71	5.88	2.94	8.82	27.00	0.3913	-27.10	-0.3928	8.35	0.1210	3.12	0.0452	
73	23	14	18	18	32	41	7	3	6	7	6	5	0	3	7	3	6	2	3	3	6	5	31.51	19.18	24.66	24.66	43.84	56.16	9.72	4.17	8.33	9.72	8.33	6.94	0.00	4.17	9.72	4.17	8.33	2.78	4.17	4.17	8.33	6.94	22.00	0.3014	-18.60	-0.2548	11.06	0.1515	3.90	0.0534	
136	17	59	42	18	101	35	2	8	7	0	4	25	21	9	10	17	9	5	1	8	5	4	12.50	43.38	30.88	13.24	74.26	25.74	1.48	5.93	5.19	0.00	2.96	18.52	15.56	6.67	7.41	12.59	6.67	3.70	0.74	5.93	3.70	2.96	46.00	0.3382	-56.40	-0.4147	18.89	0.1389	6.85	0.0503	
66	10	22	21	13	43	23	2	2	5	1	2	12	1	7	6	3	10	1	0	5	4	4	15.15	33.33	31.82	19.70	65.15	34.85	3.08	3.08	7.69	1.54	3.08	18.46	1.54	10.77	9.23	4.62	15.38	1.54	0.00	7.69	6.15	6.15	22.00	0.3333	-32.80	-0.4970	12.20	0.1848	5.32	0.0807	
119	32	23	27	37	50	69	9	3	12	7	9	3	0	11	9	9	2	7	4	8	13	12	26.89	19.33	22.69	31.09	42.02	57.98	7.63	2.54	10.17	5.93	7.63	2.54	0.00	9.32	7.63	7.63	1.69	5.93	3.39	6.78	11.02	10.17	42.00	0.3529	-49.30	-0.4143	19.97	0.1679	8.12	0.0682	
